idx,orig_f_shape,orig_m_shape,harmonized_shape,CRS_match
0456,"(78, 63)","(75, 60)","(75, 60)",True
0457,"(70, 56)","(67, 53)","(67, 53)",True
0458,"(70, 62)","(67, 59)","(67, 59)",True
0459,"(80, 73)","(77, 70)","(77, 70)",True
0460,"(60, 60)","(57, 57)","(57, 57)",True
0461,"(76, 75)","(73, 72)","(73, 72)",True
0462,"(68, 83)","(65, 79)","(65, 79)",True
0463,"(88, 76)","(85, 72)","(85, 72)",True
0464,"(59, 59)","(56, 56)","(56, 56)",True
0465,"(57, 66)","(54, 63)","(54, 63)",True
0466,"(78, 85)","(75, 81)","(75, 81)",True
0467,"(64, 132)","(59, 128)","(59, 128)",True
0468,"(69, 73)","(66, 70)","(66, 70)",True
0469,"(99, 78)","(96, 74)","(96, 74)",True
0470,"(72, 74)","(69, 71)","(69, 71)",True
0471,"(88, 86)","(84, 83)","(84, 83)",True
0472,"(83, 74)","(79, 70)","(79, 70)",True
0473,"(58, 59)","(55, 56)","(55, 56)",True
0474,"(78, 71)","(74, 67)","(74, 67)",True
0475,"(98, 64)","(95, 61)","(95, 61)",True
0476,"(73, 60)","(71, 57)","(71, 57)",True
0477,"(66, 85)","(63, 82)","(63, 82)",True
0478,"(82, 96)","(78, 92)","(78, 92)",True
0479,"(115, 100)","(111, 95)","(111, 95)",True
0480,"(71, 78)","(67, 75)","(67, 75)",True
0481,"(72, 55)","(70, 52)","(70, 52)",True
0482,"(53, 53)","(50, 51)","(50, 51)",True
0483,"(91, 105)","(87, 101)","(87, 101)",True
0484,"(122, 115)","(117, 111)","(117, 111)",True
0485,"(102, 77)","(98, 73)","(98, 73)",True
0486,"(110, 87)","(106, 82)","(106, 82)",True
0487,"(72, 67)","(69, 63)","(69, 63)",True
0488,"(96, 88)","(92, 84)","(92, 84)",True
0489,"(61, 51)","(58, 49)","(58, 49)",True
0490,"(98, 74)","(94, 70)","(94, 70)",True
0491,"(145, 80)","(141, 74)","(141, 74)",True
0492,"(64, 63)","(61, 60)","(61, 60)",True
0493,"(88, 70)","(85, 66)","(85, 66)",True
0494,"(52, 66)","(49, 62)","(49, 62)",True
0495,"(53, 64)","(50, 60)","(50, 60)",True
0496,"(58, 61)","(55, 58)","(55, 58)",True
0497,"(60, 63)","(57, 60)","(57, 60)",True
0498,"(56, 60)","(53, 57)","(53, 57)",True
0499,"(52, 61)","(49, 58)","(49, 58)",True
0500,"(63, 59)","(60, 56)","(60, 56)",True
0501,"(60, 68)","(57, 65)","(57, 65)",True
0502,"(93, 85)","(90, 81)","(90, 81)",True
0503,"(85, 65)","(82, 60)","(82, 60)",True
0504,"(92, 67)","(88, 63)","(88, 63)",True
0505,"(125, 241)","(117, 237)","(117, 237)",True
0506,"(56, 62)","(53, 59)","(53, 59)",True
0507,"(62, 81)","(58, 78)","(58, 78)",True
0508,"(62, 71)","(58, 68)","(58, 68)",True
0509,"(115, 98)","(111, 93)","(111, 93)",True
0510,"(106, 95)","(101, 91)","(101, 91)",True
0511,"(157, 102)","(152, 96)","(152, 96)",True
0512,"(61, 80)","(57, 77)","(57, 77)",True
0513,"(92, 86)","(89, 82)","(89, 82)",True
0514,"(73, 79)","(69, 75)","(69, 75)",True
0515,"(70, 78)","(67, 74)","(67, 74)",True
0516,"(57, 67)","(53, 63)","(53, 63)",True
0517,"(68, 92)","(64, 89)","(64, 89)",True
0518,"(62, 76)","(58, 73)","(58, 73)",True
0519,"(98, 99)","(93, 95)","(93, 95)",True
0520,"(59, 98)","(54, 95)","(54, 95)",True
0521,"(89, 71)","(85, 67)","(85, 67)",True
0522,"(81, 85)","(77, 81)","(77, 81)",True
0523,"(100, 103)","(95, 98)","(95, 98)",True
0524,"(122, 116)","(117, 111)","(117, 111)",True
0525,"(99, 117)","(95, 113)","(95, 113)",True
0526,"(118, 76)","(114, 72)","(114, 72)",True
0527,"(78, 96)","(75, 92)","(75, 92)",True
0528,"(141, 110)","(137, 105)","(137, 105)",True
0529,"(91, 107)","(87, 103)","(87, 103)",True
0530,"(61, 67)","(58, 64)","(58, 64)",True
0531,"(60, 71)","(58, 69)","(58, 69)",True
0532,"(247, 184)","(242, 178)","(242, 178)",True
0533,"(89, 103)","(85, 101)","(85, 101)",True
0534,"(80, 69)","(77, 66)","(77, 66)",True
0535,"(65, 91)","(62, 89)","(62, 89)",True
0536,"(78, 75)","(75, 72)","(75, 72)",True
0537,"(126, 84)","(123, 79)","(123, 79)",True
0538,"(70, 65)","(68, 62)","(68, 62)",True
0539,"(91, 107)","(87, 103)","(87, 103)",True
0540,"(117, 99)","(114, 95)","(114, 95)",True
0541,"(112, 85)","(110, 81)","(110, 81)",True
0542,"(91, 72)","(88, 68)","(88, 68)",True
0543,"(98, 105)","(93, 101)","(93, 101)",True
0544,"(89, 95)","(85, 91)","(85, 91)",True
0545,"(74, 69)","(70, 66)","(70, 66)",True
0546,"(74, 76)","(70, 73)","(70, 73)",True
0547,"(86, 71)","(82, 66)","(82, 66)",True
0548,"(52, 56)","(49, 53)","(49, 53)",True
0549,"(84, 67)","(80, 62)","(80, 62)",True
0550,"(73, 83)","(69, 80)","(69, 80)",True
0551,"(68, 69)","(65, 65)","(65, 65)",True
0552,"(114, 109)","(111, 106)","(111, 106)",True
0553,"(61, 83)","(57, 80)","(57, 80)",True
0554,"(57, 63)","(54, 61)","(54, 61)",True
0555,"(86, 76)","(83, 73)","(83, 73)",True
0556,"(109, 122)","(104, 117)","(104, 117)",True
