Polygon_ID,Width,Height,Foreground_Pixels,Background_Pixels,Polygon_Area_m2,Rasterized_Area_m2
465,63,54,250,3152,24612.93,25000.0
466,81,75,832,5243,82991.62,83200.0
467,128,59,1048,6504,104501.51,104800.0
468,70,66,448,4172,44600.37,44800.0
469,74,96,638,6466,63545.97,63800.0
47,93,87,1855,6236,185864.67,185500.0
470,71,69,515,4384,50984.56,51500.0
471,83,84,641,6331,63728.97,64100.0
472,70,79,968,4562,96796.79,96800.0
473,56,55,195,2885,19456.24,19500.0
474,67,74,599,4359,59589.22,59900.0
475,61,95,806,4989,80334.09,80600.0
476,57,71,359,3688,35888.42,35900.0
477,82,63,534,4632,53332.66,53400.0
478,92,78,1268,5908,126586.84,126800.0
479,95,111,3136,7409,312810.66,313600.0
48,70,72,671,4369,67226.11,67100.0
480,75,67,498,4527,49547.03,49800.0
481,52,70,200,3440,20325.96,20000.0
482,51,50,81,2469,8003.75,8100.0
483,101,87,1695,7092,169773.1,169500.0
484,111,117,2977,10010,297578.98,297700.0
485,73,98,1017,6137,101886.23,101700.0
486,82,106,1203,7489,120100.88,120300.0
487,63,69,522,3825,51997.21,52200.0
488,84,92,1582,6146,157912.71,158200.0
489,49,58,88,2754,8679.09,8800.0
49,74,77,886,4812,88445.73,88600.0
490,70,94,896,5684,89640.09,89600.0
491,74,141,1378,9056,137758.67,137800.0
492,60,61,306,3354,30555.39,30600.0
493,66,85,708,4902,70952.9,70800.0
494,62,49,154,2884,15159.57,15400.0
495,60,50,115,2885,11376.51,11500.0
496,58,55,201,2989,19927.34,20100.0
497,60,57,273,3147,27356.71,27300.0
498,57,53,193,2828,19253.12,19300.0
499,58,49,117,2725,11691.15,11700.0
5,124,72,2112,6816,210808.42,211200.0
50,57,63,282,3309,27974.55,28200.0
500,56,60,234,3126,23181.43,23400.0
501,65,57,294,3411,29448.78,29400.0
502,81,90,994,6296,99011.69,99400.0
503,60,82,648,4272,64524.54,64800.0
504,63,88,734,4810,73355.07,73400.0
505,237,117,7464,20265,746198.33,746400.0
506,59,53,211,2916,21147.67,21100.0
507,78,58,472,4052,47671.55,47200.0
508,68,58,252,3692,25144.86,25200.0
509,93,111,2491,7832,248918.82,249100.0
51,66,79,668,4546,66563.22,66800.0
510,91,101,1747,7444,175500.47,174700.0
511,96,152,2520,12072,251443.54,252000.0
512,77,57,473,3916,47149.49,47300.0
513,82,89,1455,5843,145765.38,145500.0
514,75,69,653,4522,65011.35,65300.0
515,74,67,524,4434,52527.11,52400.0
516,63,53,192,3147,18843.43,19200.0
517,89,64,669,5027,67040.28,66900.0
518,73,58,367,3867,36734.83,36700.0
519,95,93,1712,7123,171004.53,171200.0
52,79,96,1671,5913,166510.92,167100.0
520,95,54,492,4638,49007.2,49200.0
521,67,85,607,5088,61088.84,60700.0
